GEOID,pm25_mean,n_cells
48439113906,12.916260573100713,12
48439113946,12.89327952134726,1
48439113945,13.490602098514842,3
48439113953,13.685792051501918,16
48439113955,13.357063532727757,11
48439113715,13.54315309131302,14
48439114113,12.756084883965293,13
48439113809,14.27127395992727,1
48085031679,13.701508734745852,3
48085031329,13.801619415884273,6
48085031512,13.759813027596367,1
48085031676,13.817932300051051,2
48085031675,,0
48085032014,12.919175607322567,2
48085030534,13.524879326746213,1
48085030903,12.982206532414056,14
48085032016,13.953777451367912,2
48085031005,13.31413655737308,24
48085031006,13.37901383278968,35
48085031814,13.403415783836781,2
48085030547,12.772519917442528,1
48085031424,13.735094283978796,2
48085030535,13.619545606318589,1
48085030901,12.937334440070117,9
48085031007,13.297318153677674,37
48085030548,13.220284262378806,6
48085030543,13.191430370760093,3
48085031671,14.142663220181921,1
48085030544,13.704130028262288,2
48085031336,13.548885000929218,8
48085031328,13.537603539734185,2
48085030608,13.198994298404584,2
48085031425,13.774980880146638,4
48085030538,12.983858642128688,2
48085031670,14.120024293755419,4
48085031678,,0
48085031674,14.020651723707335,4
48085031672,14.10838344124717,4
48085031673,,0
48085031669,13.90895290822684,2
48085032015,13.135659239141228,2
48085031332,13.592879960037688,5
48085030539,13.012174461917407,4
48085031721,13.393603990743692,2
48085031723,13.138123415260702,1
48085030550,13.736199956968424,4
48085031101,12.138380332014309,62
48085031102,12.677053505745247,100
48085031419,13.432241447173396,16
48085031415,13.363728254504812,2
48085031423,13.568391093773581,1
48085031319,13.65798662968427,4
48085031326,13.646367909247246,17
48113016638,13.690095739595284,5
48085031621,13.655518720859614,4
48085031622,13.308993775900738,6
48085031623,13.47749891093459,3
48085031624,13.64343259405879,2
48085031626,13.615087876103761,1
48085031627,13.674119024644973,4
48085031628,13.305562584860326,3
48085031630,13.86696450931533,1
48085032018,13.549864955565265,2
48085031810,13.420628946157063,2
48085032017,13.461968350088506,3
48085031724,,0
48085031904,13.47832453658247,1
48085031809,,0
48085031811,13.30502671259075,1
48085031722,,0
48085031504,13.713458857563994,2
48085031611,13.955046846945272,1
48085031613,13.791567397422437,2
48085031902,13.186923024864749,4
48085030537,13.022765841380345,2
48085031815,13.393840651973612,1
48085031816,13.524747898942849,3
48085031808,13.505383037951297,3
48085030540,,0
48085030541,13.487241945570444,1
48085030536,13.063703933760255,1
48085031665,13.400307483318871,1
48085031334,13.321520125826384,3
48113013630,,0
48085031335,13.521729567456143,5
48085031812,13.376615048902204,1
48085031813,13.311604420541226,2
48085030902,12.934446326828716,5
48251130213,13.049376803910901,38
48251130212,13.495268299098768,52
48251130210,12.760776744542257,11
48251130211,12.810407314736613,40
48251130214,13.073219654556945,24
48397040508,13.339279388695315,44
48397040305,13.718708557871118,13
48397040303,13.669411031197475,10
48397040202,13.509500346477022,5
48397040407,12.89550826456896,8
48397040408,13.215918570041785,10
48397040410,,0
48397040511,13.5329615640347,16
48397040510,13.582850578062148,13
48397040507,13.620254038560647,13
48397040403,12.81846235350458,17
48397040405,12.718206716033624,5
48397040404,12.946671547634514,5
48397040304,13.82116624982714,2
48397040514,12.915683701692737,7
48397040409,12.730554452261808,15
48397040513,13.01786887547376,25
48397040509,12.958115086008185,11
48397040406,12.591256254878804,2
48397040104,13.474154087396938,12
48397040201,13.196010911548944,10
48397040103,12.974847110035231,9
48397040203,12.932739396602274,6
48085031666,13.044398697824086,2
48085031681,,0
48085030542,13.73263279457674,7
48085031330,13.640381123967854,6
48085031331,13.790428278722613,1
48085031008,13.477200430179124,40
48085030549,13.61468875010483,1
48085031901,13.41297245998127,3
48085030102,13.295776862796473,12
48085031903,13.43171004169194,2
48085030101,13.254258726293989,46
48085031668,13.886316543984343,2
48085031677,13.892144190204924,2
48439102401,13.739831993807258,2
48439113109,12.814641468923915,3
48367140413,12.917312519471778,6
48367140416,13.087051540811704,5
48367140412,13.100120580217313,3
48367140713,12.846994228453998,14
48367140414,13.183666008443803,3
48367140408,12.47363340440901,5
48439113611,13.47368876430108,3
48497150103,13.320404753498726,151
48497150605,13.249887164046521,24
48497150202,13.2542401221874,7
48497150604,13.446659875454806,3
48497150607,13.04001499046036,116
48497150606,12.908476594835369,46
48085030545,13.438179907953858,3
48085030532,13.85053985872959,2
48085030533,13.658748125649158,2
48085030609,13.209368189248607,7
48085031682,13.75515547914683,2
48085031333,13.815524934602603,2
48085032019,14.013178740583779,2
48085031667,13.874966182934779,4
48257050215,13.095296033080514,41
48257050213,12.963336308666191,20
48257050801,12.999448095518241,59
48257050802,13.325846119379555,197
48257050208,13.850627197989992,44
48257050211,13.117230735828604,27
48113012211,14.250822740350843,1
48113012400,14.265848607730282,3
48113016513,13.799083500615865,5
48113016517,13.459229738916948,1
48113016518,13.586706985718047,3
48139060704,13.234101572607427,48
48113016519,13.745766651846278,4
48113016607,13.380950132036855,1
48113016610,13.541181481334482,2
48113013609,13.377686941089026,3
48113013610,13.390451613689999,3
48113013611,13.342533431685084,4
48257050212,12.966677174752203,23
48257050601,12.690410533733193,25
48113015306,13.054982477971073,6
48113015403,12.946024337944802,1
48113015404,12.796942247928207,1
48113015500,13.730851449028716,2
48113015600,13.139494887161769,4
48113007914,14.067896583402074,1
48113013625,13.2504237380763,1
48113018134,13.644101247963723,4
48113017605,14.009125267848527,1
48085031318,13.72825213666552,3
48085031327,13.696196416266067,2
48085031416,13.607474727534493,7
48085031511,13.929025516638548,6
48085031325,13.79382711116815,3
48085031422,13.640647883912322,1
48439105516,13.389444266104773,3
48439111557,12.390202471414746,1
48439113943,13.697284151755332,6
48439113931,13.324260397594356,12
48439114012,13.151796698439677,6
48439113638,13.489441385386646,2
48085031633,13.801409106291441,2
48085031634,13.739705713150961,2
48113011701,13.889163968857702,4
48113011702,13.782054673037232,3
48251130205,12.754640284044918,3
48113012000,14.042436676987283,4
48113012206,14.276548427685922,2
48113012207,14.182520162781056,8
48113012208,13.956476693355379,1
48439113628,13.135997930233355,4
48439113629,12.951589706577645,3
48113010704,13.39607384737335,3
48085030307,13.210514759972888,6
48085030546,13.633439779248999,4
48085031680,13.945634367272683,2
48085030410,13.216639664548696,7
48085030409,13.639728577663117,2
48113980100,12.860090002632145,4
48113000605,,0
48439111015,13.121874828252496,3
48439111025,12.680580230116052,1
48439111031,13.288899937521421,3
48439113924,13.448824307946557,3
48439113958,13.424923558318774,3
48113016407,13.26250809398012,2
48113007101,13.021415533431913,2
48113018002,14.470948153842322,1
48113009105,14.056218440968937,2
48113012210,14.238481720055583,1
48113009610,,0
48113014121,13.718285292197303,4
48113004201,13.35446498092833,2
48113017102,13.46009821138342,33
48113011105,13.780294080504326,2
48113005901,13.889282572406483,2
48113006001,13.591405745246583,3
48113006002,13.654085173760903,2
48113006200,13.814473727894455,4
48113006301,13.533967713717999,2
48113006302,,0
48113006501,13.490690107319375,2
48113006502,13.640531779757074,2
48397040301,13.776272182394173,8
48113011300,13.939383454231145,7
48113002100,13.082280143742077,2
48113001202,14.071465310460253,3
48113001203,,0
48113016903,13.381264949478709,131
48113016617,13.244377637706293,4
48113008703,12.139282951384125,1
48113014002,13.527279159303827,22
48113014124,13.741903598935837,8
48113014209,13.733353787354094,1
48113018508,,0
48113015304,13.226886127652989,17
48113016406,13.735078547664934,1
48113018205,13.396483426854065,2
48113011500,13.288893380074676,16
48113005902,13.564376351876733,2
48113007601,14.10321181479469,2
48113007604,13.815408447323593,3
48113007605,13.92095717663181,1
48113007801,13.784870107611422,2
48113007805,13.479836512707326,1
48439103701,13.619531191602993,1
48439103800,13.879209890504786,2
48439103702,13.142288000529836,3
48113004700,,0
48113004800,13.068585981003627,2
48113005000,13.34410443936941,1
48113005100,12.573212339489128,1
48113005200,13.13862926863298,1
48113002500,13.70385131372426,6
48113019019,13.223640746588961,1
48257051202,13.204760909561205,56
48113005400,13.164581254860014,1
48113005500,13.082621372487488,3
48113005300,13.135261903320332,3
48113005600,13.787296914600374,3
48113013624,13.189550415809597,1
48113005700,12.998501629969535,2
48113007815,13.91522795023576,1
48113007819,,0
48113007902,13.861970082518148,3
48113002200,13.339125270974169,2
48113002400,,0
48121021728,13.663746061774518,5
48113008000,13.941765990094648,7
48113008200,14.156961330877992,3
48439103500,13.611925447984277,4
48257050207,13.85757617500054,5
48257050209,13.226088772000793,10
48257050210,13.458749437400016,31
48257050214,13.425353977429292,5
48439113520,13.080644426541436,2
48439113521,13.037591574250484,1
48439104900,12.317396385975105,1
48439113522,,0
48439113948,12.881746931846866,4
48439111566,13.60857682410456,6
48439105408,13.66447429061401,2
48439111513,13.073872646268633,3
48439113006,13.120167934708245,1
48439111319,13.511290248276424,10
48439111320,13.844705933000022,8
48439113923,13.138854176577745,3
48439106600,12.958994997636177,3
48439106700,13.260232621964132,17
48439106519,12.813197617323333,1
48439113918,13.342188161408725,2
48439113920,13.685188693323,3
48439113936,13.249685324526334,3
48439104602,13.610291527916495,2
48439104604,13.686199959385585,3
48439104100,13.956970962756929,1
48439106521,13.016818063396414,5
48439123301,12.581597298024464,2
48439106524,12.837050915219734,8
48439113934,13.23748689783182,2
48439113223,13.162133892213042,1
48439104400,13.705913643108921,2
48439104504,13.365183949695641,3
48439104505,13.563032895219878,4
48439104601,12.971989869048597,1
48113011401,13.259111645499758,6
48439111516,13.187654630177644,4
48439104603,13.59100995852308,3
48439111505,13.163038962933388,2
48139060217,13.714176810360701,4
48439113947,13.189759898556872,1
48439113957,13.526206361015944,8
48439113636,13.50128306121832,2
48439113949,13.371399602662173,1
48139060104,13.179209394376914,36
48139060220,13.889484353944058,3
48139060219,13.292671404319927,21
48139060216,13.635321528909309,11
48139060215,13.097713653063964,13
48139060105,13.348746990133101,116
48139060103,13.666381686495454,31
48139060106,13.60789130758579,53
48139060218,13.658539325975156,18
48139060221,14.166341995272704,24
48121021611,13.233708920459597,2
48121021612,13.587885941017277,3
48121021613,13.758530342453845,2
48121021614,13.516524094249084,3
48121021616,13.112157861278169,1
48121020601,13.424728269162744,4
48113008802,12.537044062466785,3
48085030512,13.34220007153962,3
48085031632,13.758330611491312,4
48085031625,13.684812519568885,3
48113009603,13.898364559983033,4
48113009604,13.745807599377883,2
48113009605,13.147987610195662,3
48113009607,13.092888235960611,2
48113009608,13.873454045469739,4
48113009609,13.655321659916552,2
48113009611,13.421954645697433,1
48113009702,12.619535843446524,2
48113009202,14.125299295670196,4
48113009301,13.793630679215688,2
48113009304,13.55018486333731,2
48439113514,13.215220368308021,1
48121020800,13.247329029923485,23
48121021203,13.153171351788856,4
48121021531,12.924622984426478,1
48121021306,13.5841542917717,2
48121021644,13.739197330938616,2
48121021651,13.666607470640304,4
48121020605,13.073887192223605,2
48121020120,13.648720491635812,3
48121021533,13.507883029439794,3
48085031509,13.718484632957296,4
48085031510,13.68947072627289,8
48085031413,12.918292436015017,3
48085031418,13.340926646967937,11
48085031417,12.992079399694807,3
48085031414,13.005756429932608,3
48085030606,13.553342691389014,3
48085031412,12.95826684050957,13
48085030607,13.354908548188698,5
48085031421,13.688030786191788,5
48085031321,13.639294321681593,14
48085031322,13.292999828258555,4
48085031320,13.607968347498815,5
48085031420,13.360541114605315,35
48085031324,13.793571911311528,5
48085031323,13.772686977684398,4
48121021615,13.214163851428868,1
48121020305,13.189320535168717,21
48121020402,13.713263696855966,9
48121020403,13.520090241236735,5
48439106512,12.713481951619574,1
48439106513,13.169565464010503,2
48439106514,12.869801715638014,7
48121020700,,0
48121020900,13.26172728424964,2
48121021000,13.638473288745406,2
48121021100,13.796062997652893,2
48121021301,13.747764312321276,1
48439106515,13.059524247495252,3
48121021502,13.44454718318176,15
48121021505,13.044342068205378,5
48439104605,13.519529614338762,4
48439114108,13.440663976519904,18
48439104202,13.630577481635928,2
48439111316,13.63493623321207,4
48439111021,13.345933504691612,8
48439111027,13.286824172700255,10
48439111026,13.01556311037537,2
48439113120,13.124375495565722,9
48439113119,13.035667402209107,2
48439113122,12.88517058481927,2
48439105407,13.574404963230265,1
48439113121,,0
48439113935,13.295737742149143,2
48439114107,13.0207180163997,11
48439104204,13.616730425206024,1
48439104203,13.756376320767833,1
48439100401,,0
48439113409,13.41845871162674,2
48113008500,14.276610399964717,2
48439105204,12.967452073837045,1
48113008604,13.400130203579257,1
48113008701,13.164317766267637,6
48113008704,13.269273363401794,2
48113008801,12.928785553816894,1
48113009802,13.115782248395234,2
48439105404,13.553815316232235,4
48439105405,13.55687849753381,7
48439105502,13.606504801561833,2
48113009104,,0
48439111514,13.051414188524035,4
48439105503,13.027978238786769,4
48439105505,13.438383700302145,3
48439105511,12.935929191009167,4
48439105512,13.037985224228425,2
48439105600,13.400499016662202,3
48439105701,13.370142623590883,2
48439105703,13.343564290984943,3
48439105800,13.375730281332514,1
48439111304,13.006942909811867,4
48439106101,13.103092948520995,2
48439106102,12.791532483205629,3
48439106201,13.191130360515707,2
48439106202,12.738084567158692,3
48439106300,12.808028003247738,4
48439106502,12.699317316310887,3
48439106503,12.597814622169142,2
48439106507,13.169806859215546,3
48439114112,12.890299558533068,12
48439113007,12.836106379514902,3
48439111538,13.245474305508727,3
48439111559,12.592598756129522,1
48439111010,13.175028790413652,85
48251130415,13.294581585937967,5
48251130216,12.768116268474998,1
48251130219,13.09507411772691,12
48251130416,13.637721409768613,26
48251130419,13.747239733157436,33
48251130220,12.85202588649353,15
48251130411,13.928190153289982,18
48251130412,13.776762475509738,46
48251130218,12.665316944458139,3
48251130222,12.916417489941248,3
48251130221,13.276692697433697,4
48251130217,12.65922016885133,2
48251130418,13.187931216380623,4
48139060207,13.420097345102853,17
48139061700,13.51144053971983,11
48139060206,13.640856267727115,13
48251130215,13.304628978142812,33
48257050204,12.870317542829925,24
48439110704,13.05801280271823,6
48439123700,13.514332295359402,3
48439110706,12.95860874799634,2
48439110705,12.938194904575516,3
48439111032,13.36813267246245,3
48439106004,12.899981100989331,21
48439114207,12.989879136694745,35
48439110809,12.68295937094205,3
48439113112,12.633738120463642,2
48439113407,12.797894614370449,2
48439111202,12.615792496668377,4
48439111102,13.000360738847668,8
48439111546,13.276622994142384,4
48439111532,13.043596038391044,4
48439121609,12.900129553375166,6
48439111408,12.928075314735532,12
48439111411,12.878985108916845,7
48439113210,13.546416948791643,6
48439113912,12.840718745101524,6
48439111104,13.19124493435145,3
48439110401,13.096072682097098,8
48439100601,12.89414381209638,32
